month,year,BORO,num_shootings
12,2014,BROOKLYN,43
12,2014,MANHATTAN,7
12,2014,QUEENS,13
12,2014,STATEN ISLAND,3
12,2015,BRONX,27
12,2015,BROOKLYN,33
12,2015,MANHATTAN,13
12,2015,QUEENS,19
12,2015,STATEN ISLAND,3
12,2016,BRONX,13
12,2016,BROOKLYN,30
12,2016,MANHATTAN,9
12,2016,QUEENS,9
12,2016,STATEN ISLAND,3
12,2017,BRONX,13
12,2017,BROOKLYN,26
12,2017,MANHATTAN,14
12,2017,QUEENS,9
12,2017,STATEN ISLAND,5
12,2018,BRONX,20
12,2018,BROOKLYN,21
12,2018,MANHATTAN,7
12,2018,QUEENS,7
12,2018,STATEN ISLAND,3
12,2019,BRONX,12
12,2019,BROOKLYN,25
12,2019,MANHATTAN,6
12,2019,QUEENS,8
12,2019,STATEN ISLAND,5
